gst.prod.dl.playstation.net

113.219.150.70	(中国湖南郴州 电信)
113.219.160.226	(中国湖南郴州 电信)
113.219.184.158	(中国湖南郴州 电信)
220.202.155.186	(中国湖南郴州 联通)
211.91.233.91	(中国湖南岳阳 联通)
118.253.168.217	(中国湖南长沙 电信)
118.253.186.13	(中国湖南长沙 电信)
175.6.92.46	(中国湖南长沙 电信)
175.12.114.224	(中国湖南长沙 电信)
175.12.115.17	(中国湖南长沙 电信)
222.246.138.154	(中国湖南长沙 电信)
116.162.203.114	(中国湖南长沙 联通)
36.158.207.243	(中国湖南长沙 移动)
120.226.45.150	(中国湖南长沙 移动)
61.161.0.181	(中国吉林四平 联通)
106.41.204.51	(中国吉林长春 电信)
111.26.46.74	(中国吉林长春 移动)
58.216.16.40	(中国江苏常州 电信)
58.216.84.70	(中国江苏常州 电信)
58.216.106.20	(中国江苏常州 电信)
61.160.234.238	(中国江苏常州 电信)
61.160.238.81	(中国江苏常州 电信)
180.101.152.178	(中国江苏常州 电信)
112.82.242.97	(中国江苏常州 联通)
58.223.172.14	(中国江苏淮安 电信)
106.111.146.23	(中国江苏淮安 电信)
36.150.14.205	(中国江苏淮安 移动)
49.88.232.223	(中国江苏连云港 电信)
36.156.125.173	(中国江苏连云港 移动)
223.111.196.253	(中国江苏连云港 移动)
36.151.191.59	(中国江苏南通 移动)
36.156.76.61	(中国江苏南通 移动)
122.195.144.46	(中国江苏宿迁 联通)
58.222.30.196	(中国江苏泰州 电信)
58.222.42.57	(中国江苏泰州 电信)
223.109.114.122	(中国江苏徐州 移动)
114.236.137.196	(中国江苏盐城 电信)
144.48.214.149	(中国江苏盐城 电信)
59.83.212.236	(中国江苏盐城 联通)
36.151.217.119	(中国江苏盐城 移动)
49.71.74.100	(中国江苏扬州 电信)
58.220.44.33	(中国江苏扬州 电信)
58.220.65.23	(中国江苏扬州 电信)
58.220.71.42	(中国江苏扬州 电信)
58.220.79.19	(中国江苏扬州 电信)
153.99.227.136	(中国江苏扬州 联通)
222.186.147.81	(中国江苏镇江 电信)
222.186.183.160	(中国江苏镇江 电信)
222.186.189.86	(中国江苏镇江 电信)
36.151.232.89	(中国江苏镇江 移动)
211.103.105.183	(中国江苏镇江 移动)
223.111.139.21	(中国江苏镇江 移动)
115.150.30.207	(中国江西赣州 电信)
115.150.38.254	(中国江西赣州 电信)
115.150.39.188	(中国江西赣州 电信)
220.177.176.27	(中国江西吉安 电信)
59.63.227.139	(中国江西南昌 电信)
106.225.224.30	(中国江西南昌 电信)
106.225.246.40	(中国江西南昌 电信)
116.153.41.60	(中国江西南昌 联通)
116.153.79.99	(中国江西南昌 联通)
118.212.144.73	(中国江西南昌 联通)
117.169.0.12	(中国江西南昌 移动)
42.202.156.33	(中国辽宁大连 电信)
42.202.170.123	(中国辽宁大连 电信)
42.202.212.45	(中国辽宁大连 电信)
42.202.218.232	(中国辽宁大连 电信)
42.7.49.34	(中国辽宁大连 联通)
123.247.80.98	(中国辽宁辽阳 电信)
42.56.78.62	(中国辽宁沈阳 联通)
42.56.88.100	(中国辽宁沈阳 联通)
218.24.86.67	(中国辽宁沈阳 联通)
